timestep,reward,source
400,-1176.9027099609375,train
400,812.3816528320312,eval
512,-2986.71337890625,train
512,812.3816528320312,train
512,-2920.406005859375,train
512,-608.38671875,train
512,-1284.115966796875,train
512,-1344.1763916015625,train
512,-1022.9241333007812,train
512,-2488.45263671875,train
512,-1640.1007080078125,train
512,-2616.484375,train
512,-1878.3983154296875,train
512,-1817.175537109375,train
512,-443.4571838378906,train
512,-2421.589599609375,train
512,-892.3864135742188,train
512,-1557.02490234375,train
512,-1385.8719482421875,train
512,-1893.3902587890625,train
512,-2451.676513671875,train
512,-1272.047607421875,train
512,-1719.474853515625,train
512,-1349.363525390625,train
512,-1156.681396484375,train
512,-2327.6142578125,train
512,-1029.646240234375,train
512,-2543.862060546875,train
512,-5587.3994140625,train
512,-1421.3487548828125,train
512,-3028.0751953125,train
512,-336.0026550292969,train
512,-2219.451904296875,train
512,-253.9833526611328,train
512,-2276.482177734375,train
512,-817.1725463867188,train
512,-2111.125244140625,train
512,-2544.74560546875,train
512,-1367.004150390625,train
512,-2141.582763671875,train
512,-2006.9801025390625,train
512,-1455.713134765625,train
512,-1738.2373046875,train
640,-1176.9027099609375,eval
640,-1545.192138671875,train
880,-1545.192138671875,eval
880,-1436.0931396484375,train
1024,-623.4107055664062,train
1024,-2624.77197265625,train
1024,-1786.603515625,train
1024,-1693.2093505859375,train
1024,-1432.5460205078125,train
1024,-1838.866943359375,train
1024,-1418.1328125,train
1024,-1122.0146484375,train
1024,-5485.7939453125,train
1024,-402.7253112792969,train
1024,-2219.077392578125,train
1024,-1740.859130859375,train
1024,-2165.56201171875,train
1024,-2423.81396484375,train
1024,-1241.3037109375,train
1024,-443.4571838378906,train
1024,-1427.406005859375,train
1024,-1665.927001953125,train
1024,-1432.8001708984375,train
1024,-1448.9815673828125,train
1024,-3190.686279296875,train
1024,-3161.869384765625,train
1024,-336.0026550292969,train
1024,-1177.5142822265625,train
1024,-2768.843505859375,train
1024,-1024.78662109375,train
1024,-1453.2369384765625,train
1024,-1378.8228759765625,train
1024,-2608.557861328125,train
1024,-2292.099853515625,train
1024,-1061.6441650390625,train
1024,-1097.32080078125,train
1024,-2360.587646484375,train
1024,-1472.531494140625,train
1024,-1393.7835693359375,train
1024,-1312.7587890625,train
1024,-2430.9697265625,train
1024,-2413.22705078125,train
1024,-2258.5537109375,train
1024,-1640.5865478515625,train
1120,-1436.0931396484375,eval
1120,-1211.293701171875,train
1360,-3544.426025390625,train
1360,-1211.293701171875,eval
1536,-319.87738037109375,train
1536,-1066.072998046875,train
1536,-2262.17724609375,train
1536,-1486.2574462890625,train
1536,-1619.29052734375,train
1536,-2696.338623046875,train
1536,-3196.79345703125,train
1536,-1330.538818359375,train
1536,-663.8384399414062,train
1536,-1924.420166015625,train
1536,-698.1203002929688,train
1536,-1466.089111328125,train
1536,-2184.88818359375,train
1536,-1855.6224365234375,train
1536,-1652.937744140625,train
1536,-1640.5865478515625,train
1536,-1420.0594482421875,train
1536,-1355.2335205078125,train
1536,-1453.27099609375,train
1536,-958.2872924804688,train
1536,-1168.0606689453125,train
1536,-1190.068115234375,train
1536,486.4825439453125,train
1536,-1022.3834228515625,train
1536,-2255.51611328125,train
1536,-2444.919677734375,train
1536,-2587.58837890625,train
1536,-1846.7750244140625,train
1536,-1417.5794677734375,train
1536,-2378.162109375,train
1536,-1928.56298828125,train
1536,-5272.64892578125,train
1536,-903.5104370117188,train
1536,-2979.102783203125,train
1536,-2140.754638671875,train
1536,-1440.355224609375,train
1536,-1393.7835693359375,train
1536,-2091.731689453125,train
1536,-1592.303466796875,train
1536,-2602.53662109375,train
1600,-528.27685546875,train
1600,-3544.426025390625,eval
1840,-2148.025634765625,train
1840,-528.27685546875,eval
2048,-846.4478149414062,train
2048,-2205.19775390625,train
2048,-1714.9093017578125,train
2048,-1282.6728515625,train
2048,-1319.9151611328125,train
2048,-1738.9183349609375,train
2048,-2519.197998046875,train
2048,-2699.82421875,train
2048,-1545.781494140625,train
2048,-958.2872924804688,train
2048,-1978.3883056640625,train
2048,-3227.333984375,train
2048,-1474.0509033203125,train
2048,-1009.7109375,train
2048,-1073.50341796875,train
2048,-1159.9537353515625,train
2048,-2908.22802734375,train
2048,188.80865478515625,train
2048,-1926.37939453125,train
2048,-2350.344482421875,train
2048,-1813.274658203125,train
2048,-658.7186279296875,train
2048,-1321.2080078125,train
2048,-126.31475830078125,train
2048,-2003.6033935546875,train
2048,-2420.001953125,train
2048,-2498.09033203125,train
2048,-1482.3919677734375,train
2048,-1319.5029296875,train
2048,-1056.6553955078125,train
2048,-1322.679931640625,train
2048,-1522.6829833984375,train
2048,-2270.66650390625,train
2048,-1344.4932861328125,train
2048,-2294.884521484375,train
2048,-5198.10302734375,train
2048,-1920.8402099609375,train
2048,-1022.3834228515625,train
2048,-1729.399658203125,train
2048,-2215.21533203125,train
2080,-1924.7393798828125,train
2080,-2148.025634765625,eval
2320,-1924.7393798828125,eval
2320,-1477.30810546875,train
2560,-1322.5684814453125,train
2560,-1691.2237548828125,train
2560,111.01057434082031,train
2560,-2322.006103515625,train
2560,-979.2483520507812,train
2560,-1127.00146484375,train
2560,-2306.71533203125,train
2560,-2108.958740234375,train
2560,-1001.4135131835938,train
2560,-2403.755615234375,train
2560,-1495.71826171875,train
2560,-1819.0355224609375,train
2560,-1802.7056884765625,train
2560,-96.59895324707031,train
2560,-1322.7349853515625,train
2560,-1661.37744140625,train
2560,-1893.2159423828125,train
2560,-1768.2852783203125,train
2560,-1807.9954833984375,train
2560,-2496.413330078125,train
2560,-991.2904052734375,train
2560,-1319.9151611328125,train
2560,-1443.936767578125,train
2560,-2491.41552734375,train
2560,-874.347412109375,train
2560,-1237.19189453125,train
2560,-1545.781494140625,train
2560,-1814.8321533203125,train
2560,-2725.775634765625,train
2560,-1959.9422607421875,train
2560,-1477.30810546875,eval
