Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.18595298593523E-12,-0.012953655491812,0.278350823811405,0,0,0,26.2762932231396,0.365475990976416,-2.13648828856926E-13,1.37368914216827E-14,0.394046540481229,2.07323522979532E-15,0.256805040180093,0,0,0,0,0,0,package://simple3/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/base_link.STL,,simple2简化版底座-1;simple2主机-1;simple2电池-1;simple2升降机构-1,car_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
raise_link,-0.0219186048216149,-0.00614991149762911,0.0804766509374972,0,0,0,1.57440911422967,0.00445351896016568,-5.12893673546368E-05,-8.10233106573792E-05,0.00516024692524079,-1.43479179470512E-19,0.00418918879530606,0,0,0,0,0,0,package://simple3/meshes/raise_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/raise_link.STL,,simple2双臂连接件-1;simple2云台1-1;simple2大然54-1;simple2舵机1-1,raise_co,raise_axis,raise_joint,prismatic,0,0,0.791000000000037,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
r1_link,0.0536938677883263,0.0187830858768375,-2.5473955109212E-05,0,0,0,0.0663841986630166,5.01087349866042E-05,1.41915208547432E-05,-8.86284879389095E-09,0.000119022545802278,-7.39910254099216E-09,8.86518320005655E-05,0,0,0,0,0,0,package://simple3/meshes/r1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://simple3/meshes/r1_link.STL,,simple21daran_v2.1_S_Link_Mt01&Mt02_pda-54&pda-24-1,r1_co,r1_axis,r1_joint,revolute,0.0730000000019553,0,0.0800000002558823,0,0,0,raise_link,1,0,0,0,0,0,0,,,,,,,,
r2_link,0.0690391832121831,-0.00867048855476518,9.80114446179625E-05,0,0,0,0.110881462974977,0.000103896046901263,-5.70152293436841E-05,4.78953301199401E-07,0.000242228117073417,-2.70275211001316E-07,0.000257959037782744,0,0,0,0,0,0,package://simple3/meshes/r2_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple3/meshes/r2_link.STL,,simple21daran_v2.1_S_Link_Mt02&Mt03_pda-24&pda-17-1,r2_co,r2_axis,r2_joint,revolute,0.0660000000014474,0.0469999999961243,0,0,0,0,r1_link,0,1,0,0,0,0,0,,,,,,,,
r3_link,0.0732217284484117,-0.031125780800493,-7.17204073907851E-14,0,0,0,0.137001038428449,0.000130917075797351,-2.55104456040768E-05,-1.38680210146015E-17,0.000643536457442371,1.08833522665448E-18,0.000640740153873149,0,0,0,0,0,0,package://simple3/meshes/r3_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/r3_link.STL,,simple21daran_v2.1Forearm_v3_E_Fix_MT01_J4030-1,r3_co,r3_axis,r3_joint,revolute,0.164099986647111,-0.0470000000123339,0,0,0,0,r2_link,1,0,0,0,0,0,0,,,,,,,,
r4_link,0.112094145104247,-0.0118412179656589,-4.5558889993913E-11,0,0,0,0.0633750976117775,4.56167399843721E-05,-5.35242027291573E-05,1.05150834065586E-12,0.000232624002950362,-1.44512017537073E-13,0.000258733906478452,0,0,0,0,0,0,package://simple3/meshes/r4_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/r4_link.STL,,simple21daran_v2Forearm_v3.1_E&W_Link_MT01&MT01_J4340P&J4310P-1,r4_co,r4_axis,r4_joint,revolute,0.1859000000017,0.047690442813871,0,0,0,0,r3_link,0,1,0,0,0,0,0,,,,,,,,
r5_link,0.0294512346002174,-0.0189632693169138,0,0,0,0,0.0265060586928656,8.83915970849895E-06,-4.23297648286646E-06,-3.60930845380006E-18,2.65304835001139E-05,1.96025426851202E-18,2.40760072495434E-05,0,0,0,0,0,0,package://simple3/meshes/r5_link.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/r5_link.STL,,simple21daran_v2Forearm_v3.1_W&W_Link_MT01&MT02_J4310&J4340-1,r5_co,r5_axis,r5_joint,revolute,0.236049999997127,-0.0485581190286188,0,0,0,0,r4_link,1,0,0,0,0,0,0,,,,,,,,
r6_link,0.0254220502811959,-0.00365785524415893,1.63935531816151E-12,0,0,0,0.0572742902536675,1.20037322092674E-05,9.06721449105524E-06,-5.98041932114544E-20,8.30585436472519E-05,-1.56602934359586E-20,8.27762300538686E-05,0,0,0,0,0,0,package://simple3/meshes/r6_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://simple3/meshes/r6_link.STL,,simple2整车v5.9forearm_v4.1_W_Out_MT02_J4340p-1,r6_co,r6_axis,r6_joint,revolute,0.0630000000027156,-0.0228823235596749,0,0,0,0,r5_link,0,-1,0,0,0,0,0,,,,,,,,
sucker,-0.0210176102386019,1.95963875748715E-14,0,0,0,0,0.0915258888584067,4.61423278938228E-06,-1.68578348283375E-17,1.42202257011135E-21,2.26966910294076E-05,-2.68064820351E-22,2.26966910294076E-05,0,0,0,0,0,0,package://simple3/meshes/sucker.STL,0.615686274509804,0.643137254901961,0.674509803921569,1,0,0,0,0,0,0,package://simple3/meshes/sucker.STL,,simple2simple1双臂v1.9吸盘-1,sucker_co,sucker_axis,sucker_joint,revolute,0.116348988405816,0.0237500000077588,0,0,0,0,r6_link,1,0,0,0,0,0,0,,,,,,,,
r6_motor,-1.11022302462516E-16,0.0278616257375456,0,0,0,0,0.141693486308993,6.50097885746567E-05,-9.82864689799898E-21,-2.90662035904782E-36,5.70974689282617E-05,4.22561048396691E-21,6.50097885746567E-05,0,0,0,0,0,0,package://simple3/meshes/r6_motor.STL,1,1,1,1,0,0,0,0,0,0,package://simple3/meshes/r6_motor.STL,,simple2小电机3-1,r6_co,r6_axis,r6_motor,fixed,0.0630000000027156,-0.0228823235596749,0,0,0,0,r5_link,0,0,0,,,,,,,,,,,,
